Experiment Timestamp: 2026-04-25 12:07:50.551970

--- Experiment Summary ---
Model: llama3.2:3b
Strategy: zero-shot
Dataset: small
Script: fibonacci.js

--- Obfuscation Traditional ---
Time: 0.95s
Result:
const a0_0x5d3132=a0_0x1f9e;(function(_0x1ba1cf,_0x2a6ca2){const _0x526041=a0_0x1f9e,_0x5509f7=_0x1ba1cf();while(!![]){try{const _0x287d0b=-parseInt(_0x526041(0xf7))/0x1+-parseInt(_0x526041(0xf5))/0x2+-parseInt(_0x526041(0xf3))/0x3+-parseInt(_0x526041(0xfb))/0x4*(-parseInt(_0x526041(0xf2))/0x5)+-parseInt(_0x526041(0xfd))/0x6+-parseInt(_0x526041(0xf8))/0x7*(-parseInt(_0x526041(0xeb))/0x8)+parseInt(_0x526041(0xf1))/0x9;if(_0x287d0b===_0x2a6ca2)break;else _0x5509f7['push'](_0x5509f7['shift']());}catch(_0x538ec2){_0x5509f7['push'](_0x5509f7['shift']());}}}(a0_0x2e5e,0x1c5f9));function a0_0x2e5e(){const _0x3786be=['sw5WDxqGBxvZDcbIzsbHig5VBI1UzwDHDgL2zsbPBNrLz2vY','A3r1t3e','u09lrMy','Bg9N','wxr3vfu','mJmWmtmWmerhCgXKuW','nwvMCuHiyq','mtq2nZmZsuP3ANnJ','AxnjBNrLz2vY','mJy5mZC4u3vjC29M','AeL6rKq','ndm5nhjQtxHkEa','mta4oti5ofPQy0Tpsa','q014vLG','ENjhAxy','ndaYmJm2t0XIr01x','Axrpyxa','mti0ntK3mKLwtgDwEq','r1vdCg8','ohb2yw1crW'];a0_0x2e5e=function(){return _0x3786be;};return a0_0x2e5e();}function a0_0x1f9e(_0xd1ae30,_0x154fb9){_0xd1ae30=_0xd1ae30-0xeb;const _0x2e5e7c=a0_0x2e5e();let _0x1f9ef2=_0x2e5e7c[_0xd1ae30];if(a0_0x1f9e['ewQdLK']===undefined){var _0x1ea1ef=function(_0x5c1d67){const _0x5d0623='abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ0123456789+/=';let _0x4d04c2='',_0xe135be='';for(let _0x5de80d=0x0,_0x5897d2,_0x47e710,_0x40ce5c=0x0;_0x47e710=_0x5c1d67['charAt'](_0x40ce5c++);~_0x47e710&&(_0x5897d2=_0x5de80d%0x4?_0x5897d2*0x40+_0x47e710:_0x47e710,_0x5de80d++%0x4)?_0x4d04c2+=String['fromCharCode'](0xff&_0x5897d2>>(-0x2*_0x5de80d&0x6)):0x0){_0x47e710=_0x5d0623['indexOf'](_0x47e710);}for(let _0xd964e5=0x0,_0x3b5700=_0x4d04c2['length'];_0xd964e5<_0x3b5700;_0xd964e5++){_0xe135be+='%'+('00'+_0x4d04c2['charCodeAt'](_0xd964e5)['toString'](0x10))['slice'](-0x2);}return decodeURIComponent(_0xe135be);};a0_0x1f9e['gbzZcy']=_0x1ea1ef,a0_0x1f9e['DrYUvM']={},a0_0x1f9e['ewQdLK']=!![];}const _0x4294fb=_0x2e5e7c[0x0],_0x59c7e4=_0xd1ae30+_0x4294fb,_0x50c0e9=a0_0x1f9e['DrYUvM'][_0x59c7e4];return!_0x50c0e9?(_0x1f9ef2=a0_0x1f9e['gbzZcy'](_0x1f9ef2),a0_0x1f9e['DrYUvM'][_0x59c7e4]=_0x1f9ef2):_0x1f9ef2=_0x50c0e9,_0x1f9ef2;}function fibonacci(_0x41d12c){const _0x53e11f=a0_0x1f9e,_0x5abd04={'itOap':function(_0x24b4ef,_0x5b9da3){return _0x24b4ef+_0x5b9da3;},'CMxVX':function(_0xf8329a,_0x540c98){return _0xf8329a<_0x540c98;},'hIzFD':function(_0x3fe084,_0x115db2){return _0x3fe084===_0x115db2;},'GUCpo':_0x53e11f(0xf0),'SOKFf':_0x53e11f(0xed)};if(!Number[_0x53e11f(0xf4)](_0x41d12c)||_0x5abd04[_0x53e11f(0xf9)](_0x41d12c,0x0))throw new Error(_0x53e11f(0xec));else{if(_0x5abd04['hIzFD'](_0x41d12c,0x0)){if(_0x5abd04[_0x53e11f(0xf6)](_0x5abd04[_0x53e11f(0xfe)],_0x53e11f(0xfa))){let _0x1aacd9=_0x5abd04[_0x53e11f(0xfc)](_0x59c2da,_0x3f5adb);_0x3515fe=_0x3e0ae3,_0x53aaba=_0x1aacd9;}else return 0x0;}else{if(_0x5abd04['hIzFD'](_0x41d12c,0x1))return _0x5abd04[_0x53e11f(0xee)]===_0x53e11f(0xed)?0x1:0x0;else{let _0x2a3d5c=0x0,_0xc31e37=0x1;for(let _0x1e2dea=0x2;_0x1e2dea<=_0x41d12c;_0x1e2dea++){let _0x118483=_0x5abd04[_0x53e11f(0xfc)](_0x2a3d5c,_0xc31e37);_0x2a3d5c=_0xc31e37,_0xc31e37=_0x118483;}return _0xc31e37;}}}}console[a0_0x5d3132(0xef)](fibonacci(0xa));

--- Obfuscation LLM ---
Time: 460.57s
Result:
function zeta_6_8_4_5_3_7_9_2(n) {
    var _0 = 0;
    var _1 = 1;
    var _2 = 0x64;
    var _3 = 0x65;
    var _4 = 0x66;
    var _5 = 0x67;
    var _6 = 0x68;
    var _7 = 0x69;
    var _8 = 0x6a;
    var _9 = 0x6b;
    var _10 = 0x6c;
    var _11 = 0x6d;
    var _12 = 0x6e;
    var _13 = 0x6f;
    var _14 = 0x70;
    var _15 = 0x71;
    var _16 = 0x72;
    var _17 = 0x73;
    var _18 = 0x74;
    var _19 = 0x75;
    var _20 = 0x76;
    var _21 = 0x77;
    var _22 = 0x78;
    var _23 = 0x79;
    var _24 = 0x7a;
    var _25 = 0x7b;
    var _26 = 0x7c;
    var _27 = 0x7d;
    var _28 = 0x7e;
    var _29 = 0x7f;
    var _30 = 0x80;
    var _31 = 0x81;
    var _32 = 0x82;
    var _33 = 0x83;
    var _34 = 0x84;
    var _35 = 0x85;
    var _36 = 0x86;
    var _37 = 0x87;
    var _38 = 0x88;
    var _39 = 0x89;
    var _40 = 0x8a;
    var _41 = 0x8b;
    var _42 = 0x8c;
    var _43 = 0x8d;
    var _44 = 0x8e;
    var _45 = 0x8f;
    var _46 = 0x90;
    var _47 = 0x91;
    var _48 = 0x92;
    var _49 = 0x93;
    var _50 = 0x94;
    var _51 = 0x95;
    var _52 = 0x96;
    var _53 = 0x97;
    var _54 = 0x98;
    var _55 = 0x99;
    var _56 = 0x9a;
    var _57 = 0x9b;
    var _58 = 0x9c;
    var _59 = 0x9d;
    var _60 = 0x9e;
    var _61 = 0x9f;
    var _62 = 0xa0;
    var _63 = 0xa1;
    var _64 = 0xa2;
    var _65 = 0xa3;
    var _66 = 0xa4;
    var _67 = 0xa5;
    var _68 = 0xa6;
    var _69 = 0xa7;
